Category,Billing Opportunity,CPT / HCPCS Code(s),Payer Type,Eligible Population,Trigger / Detection Logic for NP Companion,Est. Revenue per Event,Frequency,Cost-Share Waived?,Modifier,Documentation Requirements,Notes / Gotchas
Preventive Lab Screenings,Hepatitis B Screening,"86704, 86706, 87340, 87341 (Medicare); 86704-86707, 87340, 87341 (Private)",Medicare / Private,"Medicare: pregnant women (first prenatal), high-risk non-pregnant; Private: persons at high risk (USPSTF)","Flag high-risk patients (IVDU history, endemic country origin, HIV+, household contacts) and pregnant patients without HBV screening",$25,One-time (or per pregnancy),Yes,33 (private),"HBsAg, anti-HBs, anti-HBc; document risk factors","Screening includes triple panel: surface antigen, surface antibody, core antibody. Vaccine follow-up if susceptible."
Preventive Lab Screenings,HIV Screening,"80081 (Medicare); 86689, 86701-86703, 87389-87391, 87534-87539, 87806 (Private)",Medicare / Private,"Medicare: all beneficiaries regardless of risk, including pregnant women; Private: adolescents/adults 15-65 (USPSTF)",Flag patients 15-65 without HIV screening on record; flag all pregnant patients; flag high-risk patients for repeat screening,$25,One-time (annually for high-risk),Yes,33 (private),HIV antigen/antibody combination test preferred; document screening indication,"USPSTF A recommendation for ages 15-65 and all pregnant women. Medicare covers annually for high-risk, once for others."
Preventive Lab Screenings,"STI Screening (Chlamydia, Gonorrhea, Syphilis)",Various — see codes column,Medicare / Private,Women ≤24 or at higher risk (chlamydia/gonorrhea); all persons at increased risk (syphilis); pregnant women (all three),Flag sexually active women ≤24; flag patients with STI risk factors; flag all pregnant patients for syphilis/chlamydia/gonorrhea,$40,Annual or per pregnancy,Yes,33 (private),"Chlamydia: 87490-87491; Gonorrhea: 87590-87591; Syphilis: 86592-86593, 86780; document risk factors or pregnancy status",Multiple codes per encounter possible. Syphilis screening is USPSTF A recommendation for high-risk + all pregnant women.
Preventive Lab Screenings,"Colorectal Cancer Screening (FIT, Cologuard, Colonoscopy)","82270, 82274, 81528 (FIT/Cologuard); G0104-G0121 (Medicare scopes); 45330-45398 (Private scopes)",Medicare / Private,Adults 45-75 (USPSTF); Medicare: aged 50-85 (some tests),"Flag patients 45-75 without CRC screening per recommended interval (FIT annual, Cologuard q3y, colonoscopy q10y)",$25,Varies by method,Yes,33 (private),Order appropriate screening test; document average-risk or high-risk status; for Medicare: different HCPCS codes for different modalities,Cologuard (81528) is high-margin for reference labs. Office-based FIT (82270/82274) is low cost to administer. Colonoscopy referrals generate downstream revenue.
Preventive Lab Screenings,Lung Cancer Screening (LDCT),"G0296, G0297 (Medicare); N/A CPT (Private)",Medicare / Private,Adults 50-80 (USPSTF) or 55-77 (Medicare) with ≥30 pack-year smoking history and currently smoking or quit within 15 years,Flag patients with ≥30 pack-year smoking history in social history; age 50-80; currently smoking or quit <15 years; no LDCT in past 12 months,$0,Annual,Yes,33 (private),Medicare: G0296 (counseling visit) + G0297 (LDCT); written order meeting CMS requirements; document pack-year history and quit date; shared decision-making,G0296 counseling visit is separately billable and often missed. The LDCT itself is ordered to radiology. The office captures the counseling code.
Preventive Lab Screenings,Cervical Cancer Screening (Pap/HPV),"G0123-G0148, P3000-P3001, Q0091 (Medicare); 88141-88175 (Private)",Medicare / Private,Women 21-65 (Pap q3y ages 21-29; Pap+HPV co-test or HPV alone q5y ages 30-65),Flag female patients 21-65 without cervical screening per interval; age-based method recommendation,$30,Every 3-5 years (method-dependent),Yes,33 (private),Pap smear collection (Q0091 for Medicare); cytology processing; HPV co-testing if age 30+; document screening interval compliance,Medicare: Q0091 is the specimen collection code. Can be billed with screening Pap codes. HPV co-test (G0476) for women 30-65.
Preventive Lab Screenings,Screening Mammography,"77063, 77067 (Medicare); 77065-77067 (Private)",Medicare / Private,Women ≥40 (every 1-2 years per USPSTF); Medicare: women ≥35,Flag female patients ≥40 without mammography in past 1-2 years; generate referral prompt,$0,Annual or biennial,Yes,33 (private),Order screening mammography; document screening indication; ensure referral is placed,Office captures the order placement and may bill for the associated E/M if problems are discussed. Imaging center bills the mammography itself.
Preventive Lab Screenings,Bone Density Screening (DEXA),"76977, 77078, 77080, 77081, 77085 (Medicare); same (Private)",Medicare / Private,"Medicare: estrogen-deficient women at osteoporosis risk, vertebral abnormalities, glucocorticoid therapy, hyperparathyroidism; Private: postmenopausal women <65 at increased risk, all women ≥65",Flag women ≥65 without DEXA on file; flag postmenopausal women <65 with risk factors (FRAX score); flag glucocorticoid patients,$0,Every 2 years (Medicare) or per risk assessment,Yes,33 (private),Order DEXA scan; document risk factors or indication; interpret results if performed in office,"If office has DEXA machine, this is direct revenue. If referral, office captures the E/M and care gap closure."
Preventive Lab Screenings,Abdominal Aortic Aneurysm Screening (Ultrasound),76706,Medicare / Private,Men 65-75 who have ever smoked (USPSTF B recommendation),Flag male patients 65-75 with smoking history and no prior AAA screening,$0,One-time,Yes,33 (private),Order abdominal ultrasound for AAA screening; document smoking history; one-time screening benefit,Referral to ultrasound. Medicare covers as part of IPPE or with physician referral. One-time benefit — high-value to capture before the window closes.
Preventive Lab Screenings,Tuberculosis Screening,"86480, 86481, 86580 (Private); varies (Medicare)",Medicare / Private,"Adults at increased risk (USPSTF B recommendation): recent immigrants, homeless, incarcerated, healthcare workers, immunocompromised",Flag patients with TB risk factors in social history without recent TB screening,$15,Per risk assessment,Yes,33 (private),TST (86580) or IGRA (86480/86481); document risk factors for screening indication,QuantiFERON (IGRA) is increasingly preferred over TST. Document the specific risk factor triggering the screen.
Immunizations,,,,,,,,,,,
Immunizations,Influenza Vaccine,90654-90689 (vaccine) + 90471/90472 or G0008 (admin),Medicare / Private,All patients ≥6 months annually; Medicare: all beneficiaries,Flag patients without flu vaccine documented in current season (Sept-March); prompt at every visit during flu season,$30,Annual (seasonal),Yes,,"Vaccine product code + administration code; document lot number, site, route, VIS date; Medicare uses G0008 for admin",Vaccine cost + administration fee. High-dose (90662) or adjuvanted (90653) for ≥65. Revenue from both vaccine purchase margin and admin fee.
Immunizations,"Pneumococcal Vaccine (PCV20, PPSV23)","90670, 90732 (vaccine) + 90471/90472 or G0009 (admin)",Medicare / Private,Adults ≥65; adults 19-64 with risk conditions; Medicare: all beneficiaries,"Flag adults ≥65 without PCV20 on record; flag younger adults with immunocompromising conditions, cochlear implants, CSF leaks, chronic conditions",$50,Per ACIP schedule,Yes,,PCV20 preferred as single dose for most adults ≥65; document prior pneumococcal vaccination history; Medicare uses G0009 admin code,ACIP 2023 simplified recommendations: PCV20 alone for most adults ≥65. Check prior PCV13/PPSV23 history for dosing decisions.
Immunizations,Shingles Vaccine (Shingrix),90750 (vaccine) + 90471 (admin),Medicare Part D / Private,Adults ≥50 (2-dose series); immunocompromised adults ≥19,Flag adults ≥50 without Shingrix series completion; track dose 1 vs dose 2 status,$200,2-dose series,Varies (Part D — may have copay),,"Recombinant zoster vaccine; 2 doses, 2-6 months apart; document lot, site, route, VIS; Part D coverage (not Part B)",Part D benefit — patient may have copay depending on plan. Office still collects admin fee and often vaccine margin. Track series completion.
Immunizations,Tdap / Td Vaccine,"90714, 90715 (vaccine) + 90471 (admin)",Private / Medicare,"All adults (Tdap once, then Td/Tdap q10y); pregnant women (Tdap each pregnancy at 27-36 weeks)",Flag adults without Tdap on record; flag adults with last tetanus >10 years ago; flag pregnant patients at 27-36 weeks,$35,Every 10 years (or per pregnancy),Yes,33,"Document vaccine product, lot, site, route, VIS date; for pregnant patients document gestational age",Frequently missed in adult patients. Pregnancy dosing is a separate billable event each pregnancy.
Immunizations,HPV Vaccine (Gardasil 9),90651 (vaccine) + 90471 (admin),Private,Ages 9-26 (routine); 27-45 (shared clinical decision-making),"Flag patients 9-26 without HPV series completion; for 27-45, flag if patient requests or has risk factors",$250,2-3 dose series,Yes (ages 9-26),33,"Document dose number, lot, site, route, VIS; 2 doses if started before 15th birthday, 3 doses if started ≥15",High vaccine cost = high margin opportunity. Ages 27-45 require shared decision-making discussion documentation.
Immunizations,Hepatitis B Vaccine,90739-90747 (vaccine) + 90471 or G0010 (admin),Medicare / Private,Medicare: beneficiaries at intermediate/high risk for HBV; Private: all unvaccinated adults (ACIP universal recommendation 2022),Flag adults without documented HBV vaccination or immunity; prioritize high-risk patients,$60,2-3 dose series,Yes,,"Heplisav-B (90739, 2-dose) or Engerix-B/Recombivax (90746/90740, 3-dose); document series tracking; Medicare uses G0010 admin",ACIP 2022 universal adult HBV vaccination recommendation expanded the eligible population significantly. Heplisav-B (2 doses) simplifies completion.
Immunizations,Hepatitis A Vaccine,90632-90636 (vaccine) + 90471 (admin),Private,All children 12-23 months; adults at risk or requesting vaccination,"Flag unvaccinated adults with travel to endemic areas, chronic liver disease, MSM, IVDU, homelessness",$40,2-dose series,Yes (children routine),33,"Document lot, site, route, VIS; 2-dose series 6-12 months apart",ACIP recommends for all children and adults at increased risk. Twinrix (90636) combines Hep A + Hep B.
Immunizations,COVID-19 Vaccine,Per current CPT/HCPCS (updates frequently),Medicare / Private,Per current CDC/ACIP recommendations,Flag patients without current COVID-19 vaccination per latest ACIP schedule,$40,Per ACIP schedule,Yes,,Document per current ACIP guidelines; codes update frequently — check CMS transmittals,Codes and coverage change frequently. NP Companion should pull from CDC immunization schedule API for current recommendations.
Immunizations,RSV Vaccine (Abrysvo/Arexvy),Per current CPT,Medicare Part D / Private,Adults ≥60 (shared clinical decision); pregnant women 32-36 weeks (seasonal),Flag adults ≥60 without RSV vaccination; flag pregnant patients at 32-36 weeks during RSV season,$200,Single dose (adults); per pregnancy (seasonal),Varies,,Document shared clinical decision-making for adults ≥60; for pregnant patients document gestational age and RSV season timing,Newer vaccine — verify current ACIP recommendations and payer coverage. Part D for Medicare.
Immunizations,"Meningococcal Vaccine (MenACWY, MenB)","90620, 90621, 90733, 90734 + 90471",Private,"Adolescents 11-12 (MenACWY, booster 16); 16-23 (MenB shared decision); adults at increased risk",Flag adolescents 11-12 without MenACWY; flag 16-year-olds for booster; flag college-bound patients,$75,Per ACIP schedule,Yes (routine adolescent),33,"MenACWY: 2 doses (11-12 + 16); MenB: 2-3 dose series for at-risk; document lot, site, route, VIS",Often missed at the 16-year-old booster dose. College entry requirements drive catch-up vaccination.
Counseling & Education,,,,,,,,,,,
Counseling & Education,Obesity Screening & Counseling (Adults),"97802, 97803, 97804",Medicare / Private,Adults with BMI ≥30; Medicare: IBT for Obesity (G0447); Private: USPSTF recommendation,Flag adults with BMI ≥30 on most recent vitals; prompt for behavioral counseling documentation; track counseling sessions,$30,Multiple sessions per year,Yes,33 (private),"Medicare IBT: G0447 (15 min face-to-face, up to 22 sessions in 12 months); Private: 97802-97804 with modifier 33; document BMI, counseling content, behavioral goals","Medicare IBT (G0447): 6 sessions monthly, then 6 every 2 weeks, then monthly for 6 months IF ≥3kg weight loss at 6 months. Very specific schedule."
Counseling & Education,Obesity Screening & Counseling (Pediatric),"97802, 97803, 97804",Private,Children and adolescents ≥6 years with obesity (USPSTF),Flag pediatric patients ≥6 with BMI ≥95th percentile; prompt for intensive behavioral intervention referral or in-office counseling,$30,Multiple sessions,Yes (with modifier 33),33,"USPSTF recommends ≥26 contact hours for intensive behavioral interventions; document BMI percentile, counseling provided, goals set","USPSTF recommends referral to comprehensive, intensive behavioral interventions. In-office counseling is billable."
Counseling & Education,Medical Nutrition Therapy (MNT),"97802, 97803, 97804 (CPT); G0270, G0271 (HCPCS)",Medicare,"Medicare beneficiaries with diabetes, renal disease, or post-kidney transplant (within 36 months); requires physician referral to RD/nutrition professional",Flag Medicare patients with diabetes (E11.x) or CKD (N18.x) without MNT referral; flag post-transplant patients,$50,"3 hours initial year, 2 hours subsequent years",Yes (copay + deductible waived),,"Physician referral required; services by registered dietitian or nutrition professional; 97802 (initial 15 min), 97803 (re-assessment 15 min), 97804 (group); Medicare: G0270/G0271","Office captures the referral and any associated E/M. If the practice employs an RD, direct MNT billing. Otherwise, referral revenue."
Counseling & Education,Diabetes Self-Management Training (DSMT),"G0108, G0109",Medicare,Medicare beneficiaries with diabetes diagnosis + physician/NP order for DSMT,Flag Medicare diabetic patients without DSMT in past 12 months; generate DSMT referral/order prompt,$0,Initial 10 hours + 2 hours/year follow-up,No (copay and deductible apply),,"Physician/NP order required; document diabetes diagnosis and DSMT order; G0108 (individual), G0109 (group, per patient)","Not zero cost-share, but generates revenue if practice has certified diabetes educator (CDE/CDCES) or DSMT program."
